Stacja1;Stacja2;Dystans
Walbrzych Glowny;Barlogi;483,88
Walbrzych Glowny;Tomaszow Mazowiecki;196,88
Walbrzych Glowny;Zawiercie;72,39
Walbrzych Glowny;Pszczyna;206,07
Walbrzych Glowny;Szczepki;116,74
Walbrzych Glowny;Satopy-Samulewo;310,69
Walbrzych Glowny;Brzeg Dolny;121,35
Walbrzych Glowny;Tychowo;358,55
Walbrzych Glowny;Morag;443,78
Walbrzych Glowny;Zlotow;68,95
Walbrzych Glowny;Nowy Tomysl;160,52
Walbrzych Glowny;Chelm;498,77
Walbrzych Glowny;Pamiatkowo;168,51
Walbrzych Glowny;Laskowice Pomorskie;228,09
Walbrzych Glowny;Zalesie Gorne;498,72
Walbrzych Glowny;Iwin;450,4
Walbrzych Glowny;Witnica;358,17
Walbrzych Glowny;Boleslawiec;38,54
Walbrzych Glowny;Krzywizna;283,73
Walbrzych Glowny;Bytom;363,88
Walbrzych Glowny;Boguszow-Gorce Zachod;475,77
Walbrzych Glowny;Czarna Woda;491,32
Walbrzych Glowny;Chojna;194,15
Walbrzych Glowny;Dolice;139,96
Walbrzych Glowny;Pionki Zachodnie;347,45
Walbrzych Glowny;Sosnie Ostrowskie;210,89
Walbrzych Glowny;Naklo Notecia;6,39
Walbrzych Glowny;Kotomierz;286,8
Walbrzych Glowny;Lublin Glowny;384,61
Walbrzych Glowny;Warszawa Rembertow;128,48
Walbrzych Glowny;Szczecin Dabie;86,86
Walbrzych Glowny;Milanowek;53,38
Walbrzych Glowny;Sulechow;83,65
Walbrzych Glowny;Dzialdowo;109,11
Walbrzych Glowny;Sidra;475,68
Walbrzych Glowny;Nasielsk;57,33
Walbrzych Glowny;Mlawa;178,87
Walbrzych Glowny;Sterkowiec;405,6
Walbrzych Glowny;Dabrowa Bialostocka;462,35
Walbrzych Glowny;Lednogora;499,43
Walbrzych Glowny;Polanica-Zdroj;68,58
Walbrzych Glowny;Wejherowo;451,38
Walbrzych Glowny;Lencze;396,26
Walbrzych Glowny;Mieszkow;268,85
Walbrzych Glowny;Poznan Debiec;302,55
Walbrzych Glowny;Zawadzkie;207,39
Walbrzych Glowny;Chynow;166,38
Walbrzych Glowny;Zielonka Pomorska;439,06
Walbrzych Glowny;Barchow;49,01
Walbrzych Glowny;Taczanow;201,73
Walbrzych Glowny;Oborniki Wielkopolskie;230,43
Walbrzych Glowny;Kepno;42,12
Walbrzych Glowny;Bydgoszcz Zachod;357,36
Walbrzych Glowny;Zdrody Nowe;275,92
Walbrzych Glowny;Korzensko;305,39
Walbrzych Glowny;Prudnik;179,07
Walbrzych Glowny;Piotrkow Trybunalski;8,67
Walbrzych Glowny;Kudowa-Zdroj;328,36
Walbrzych Glowny;Sierakowice Skierniewickie;406,0
Walbrzych Glowny;Malkinia Malkinia;190,27
Walbrzych Glowny;Szczytno;433,02
Walbrzych Glowny;Zgorzelec Ujazd;136,54
Walbrzych Glowny;Sadurki;313,39
Walbrzych Glowny;Chelm Miasto;254,49
Walbrzych Glowny;Wloclawek Zazamcze;484,16
Walbrzych Glowny;Brwinow;452,06
Walbrzych Glowny;Raciborz;146,75
Walbrzych Glowny;Radymno;401,94
Walbrzych Glowny;Mialy;251,16
Walbrzych Glowny;Warszawa Zachodnia;339,08
Walbrzych Glowny;Szklarska Poreba Gorna;117,29
Walbrzych Glowny;Wasilkow;132,34
Walbrzych Glowny;Konin;480,45
Walbrzych Glowny;Miedzyrzec Podlaski;119,31
Walbrzych Glowny;Debica;184,5
Walbrzych Glowny;Bydgoszcz Legnowo;23,77
Walbrzych Glowny;Hel;164,65
Walbrzych Glowny;Bardo Przylek;112,16
Walbrzych Glowny;Kamienna Nowa;130,2
Walbrzych Glowny;Leczyca;155,44
Walbrzych Glowny;Jablon Koscielna;316,01
Walbrzych Glowny;Bystrzyca Klodzka Przedmiescie;146,98
Walbrzych Glowny;Poronin;136,44
Walbrzych Glowny;Rzepin;318,49
Walbrzych Glowny;Wroclaw Glowny;488,14
Walbrzych Glowny;Zdzieszowice;350,81
Walbrzych Glowny;Janinow;244,85
Walbrzych Glowny;Malczyce;200,32
Walbrzych Glowny;Koniecpol;480,21
Walbrzych Glowny;Klodzko Glowne;255,92
Walbrzych Glowny;Jasien Brzeski;289,99
Walbrzych Glowny;Chrzesne;358,5
Walbrzych Glowny;Stryszow;198,22
Walbrzych Glowny;Lipowa Tucholska;8,64
Walbrzych Glowny;Rzeszow Glowny;269,54
Walbrzych Glowny;Zblewo;250,57
Walbrzych Glowny;Gorzow Wielkopolski;458,34
Walbrzych Glowny;Zlotniki Kujawskie;218,59
Walbrzych Glowny;Lubliniec;306,28
Walbrzych Glowny;Biskupice Wielkopolskie;289,81
Walbrzych Glowny;Poznan Garbary;183,79
Walbrzych Glowny;Kolodziejewo;210,83
Walbrzych Glowny;Racibory Nowe;22,71
Walbrzych Glowny;Bialystok;69,56
Walbrzych Glowny;Lukow;311,66
Walbrzych Glowny;Warszawa Gdanska;99,92
Walbrzych Glowny;Miechow;472,56
Walbrzych Glowny;Kostrzyn Kostrzyn;322,71
Walbrzych Glowny;Krakow Plaszow;404,98
Walbrzych Glowny;Kowalewo Pomorskie;396,9
Walbrzych Glowny;Suchedniow;413,51
Walbrzych Glowny;Mrozy;322,0
Walbrzych Glowny;Zlocieniec;139,59
Walbrzych Glowny;Michalin;262,57
Walbrzych Glowny;Olsztyn Zachodni;123,92
Walbrzych Glowny;Pruszkow;495,07
Walbrzych Glowny;Lodz Chojny;465,11
Walbrzych Glowny;Bednary;87,97
Walbrzych Glowny;Puck;247,84
Walbrzych Glowny;Opole Glowne;463,43
Walbrzych Glowny;Kielce;458,39
Walbrzych Glowny;Kornelin;449,53
Walbrzych Glowny;Panki;222,62
Walbrzych Glowny;Wabrzezno;359,97
Walbrzych Glowny;Zbaszynek;158,7
Walbrzych Glowny;Leszno;286,37
Walbrzych Glowny;Bielsk Podlaski;266,76
Walbrzych Glowny;Sucha Beskidzka;316,96
Walbrzych Glowny;Baborowko;32,1
Walbrzych Glowny;Smolec;27,29
Walbrzych Glowny;Wloclawek;278,29
Walbrzych Glowny;Sierakow Slaski;306,02
Walbrzych Glowny;Poznan Wola;382,55
Walbrzych Glowny;Kotlin;437,7
Walbrzych Glowny;Pobiedziska;44,83
Walbrzych Glowny;Zbaszyn;223,4
Walbrzych Glowny;Wydminy;199,52
Walbrzych Glowny;Balinka;194,55
Walbrzych Glowny;Sochaczew;202,07
Walbrzych Glowny;Zajezierze Kolo;223,74
Walbrzych Glowny;Tluszcz;417,08
Walbrzych Glowny;Rybnik;469,1
Walbrzych Glowny;Jastrzebna;418,99
Walbrzych Glowny;Siedlce;136,6
Walbrzych Glowny;Ilowiec;494,79
Walbrzych Glowny;Lobez;94,01
Walbrzych Glowny;Bialy Bor;498,45
Walbrzych Glowny;Mokra Mokra;211,12
Walbrzych Glowny;Silno;494,44
Walbrzych Glowny;Bytom Odrzanski;279,77
Walbrzych Glowny;Szydlow;184,95
Walbrzych Glowny;Blonie;319,41
Walbrzych Glowny;Jezewo;331,32
Walbrzych Glowny;Wierzchucin;336,81
Walbrzych Glowny;Wilkoszewice;159,45
Walbrzych Glowny;Swarzedz;405,46
Walbrzych Glowny;Lowczowek Plesna;294,77
Walbrzych Glowny;Bielsko-Biala Glowna;203,7
Walbrzych Glowny;Trzcianka;134,7
Walbrzych Glowny;Kuznica Bialostocka;423,15
Walbrzych Glowny;Slawno;187,53
Walbrzych Glowny;Gliwice;367,6
Walbrzych Glowny;Jedrzejow;178,88
Walbrzych Glowny;Grzmiaca;29,49
Walbrzych Glowny;Strzalkowo;133,63
Walbrzych Glowny;Miedzylesie;140,52
Walbrzych Glowny;Piastow;349,95
Walbrzych Glowny;Czerwiensk;213,89
Walbrzych Glowny;Miedzyzdroje;319,06
Walbrzych Glowny;Wrzesnia;467,18
Walbrzych Glowny;Lipka Krajenska;81,09
Walbrzych Glowny;Knyszyn;483,86
Walbrzych Glowny;Sroda Wielkopolska;405,17
Walbrzych Glowny;Jelenia Gora;152,87
Walbrzych Glowny;Krzeszowice;393,13
Walbrzych Glowny;Dabrowa Gornicza;313,72
Walbrzych Glowny;Milik;371,1
Walbrzych Glowny;Strykow;125,64
Walbrzych Glowny;Jarocin;348,46
Walbrzych Glowny;Olesno Slaskie;255,12
Walbrzych Glowny;Zegiestow Zdroj;33,88
Walbrzych Glowny;Kamien Pomorski;470,9
Walbrzych Glowny;Dobieszyn;163,9
Walbrzych Glowny;Bardo Slaskie;44,6
Walbrzych Glowny;Bialogard;84,14
Walbrzych Glowny;Budachow;348,36
Walbrzych Glowny;Bialosliwie;375,75
Walbrzych Glowny;Dobiegniew;452,43
Walbrzych Glowny;Maksymilianowo;110,58
Walbrzych Glowny;Biala Podlaska;203,34
Walbrzych Glowny;Siemiatycze;104,81
Walbrzych Glowny;Naleczow;411,56
Walbrzych Glowny;Zebrzydowice;46,55
Walbrzych Glowny;Sztum;276,86
Walbrzych Glowny;Przeworsk;132,65
Walbrzych Glowny;Kutno;432,02
Walbrzych Glowny;Kolo;77,37
Walbrzych Glowny;Warszawa Wlochy;463,59
Walbrzych Glowny;Babimost;386,45
Walbrzych Glowny;Warszawa Stadion;250,31
Walbrzych Glowny;Sieradz;182,57
Walbrzych Glowny;Nowy Sacz;92,86
Walbrzych Glowny;Elblag;167,67
Walbrzych Glowny;Wrzosow;220,25
Walbrzych Glowny;Korsze;167,65
Walbrzych Glowny;Jaroslaw;104,16
Walbrzych Glowny;Siechnice;283,28
Walbrzych Glowny;Warszawa Powisle;364,25
Walbrzych Glowny;Podborsko;452,92
Walbrzych Glowny;Warszawa Miedzylesie;413,39
Walbrzych Glowny;Pelplin;341,86
Walbrzych Glowny;Mlodow;140,43
Walbrzych Glowny;Krasiejow;95,42
Walbrzych Glowny;Kowalow;101,85
Walbrzych Glowny;Sosnowiec Glowny;160,18
Walbrzych Glowny;Rytro;71,44
Walbrzych Glowny;Lugi Gorzyckie;215,72
Walbrzych Glowny;Gadkow Wielki;471,84
Walbrzych Glowny;Anieliny;465,01
Walbrzych Glowny;Laskarzew Przystanek;293,17
Walbrzych Glowny;Minsk Mazowiecki;12,03
Walbrzych Glowny;Pilawa;389,75
Walbrzych Glowny;Lipno Nowe;459,64
Walbrzych Glowny;Potegowo;456,75
Walbrzych Glowny;Pierzyska;288,42
Walbrzych Glowny;Mogilno;406,18
Walbrzych Glowny;Stare Bojanowo;447,77
Walbrzych Glowny;Gniezno;361,46
Walbrzych Glowny;Krakow Swoszowice;161,32
Walbrzych Glowny;Pleszew;47,27
Walbrzych Glowny;Kielpino Kartuskie;52,45
Walbrzych Glowny;Barcice;195,62
Walbrzych Glowny;Zabkowice Slaskie;46,92
Walbrzych Glowny;Kolobrzeg;93,59
Walbrzych Glowny;Przywory Opolskie;119,91
Walbrzych Glowny;Wierchomla Wielka;454,47
Walbrzych Glowny;Gdansk Wrzeszcz;135,89
Walbrzych Glowny;Skierniewice;130,42
Walbrzych Glowny;Steszew;191,3
Walbrzych Glowny;Czarna Tarnowska;383,22
Walbrzych Glowny;Przetycz Stare;361,9
Walbrzych Glowny;Debe Wielkie;273,77
Walbrzych Glowny;Grupa;366,92
Walbrzych Glowny;Wieliczka Park;426,03
Walbrzych Glowny;Jawor;228,02
Walbrzych Glowny;Katowice Ligota;334,52
Walbrzych Glowny;Lomnica-Zdroj;467,43
Walbrzych Glowny;Jozefow;175,69
Walbrzych Glowny;Kobylnica;298,3
Walbrzych Glowny;Piwniczna;394,12
Walbrzych Glowny;Gryfice;397,6
Walbrzych Glowny;Slupsk;475,68
Walbrzych Glowny;Oswiecim;77,24
Walbrzych Glowny;Gdansk Glowny;158,94
Walbrzych Glowny;Oborniki Slaskie;319,16
Walbrzych Glowny;Budzyn;144,24
Walbrzych Glowny;Rybnik Paruszowiec;66,14
Walbrzych Glowny;Wroclaw Lesnica;143,75
Walbrzych Glowny;Wroclaw Brochow;106,13
Walbrzych Glowny;Gluszyca;422,54
Walbrzych Glowny;Torun Wschodni;113,71
Walbrzych Glowny;Stare Pole;166,28
Walbrzych Glowny;Jastarnia;135,74
Walbrzych Glowny;Warszawa Wilenska;345,74
Walbrzych Glowny;Miedzyborow;416,0
Walbrzych Glowny;Pabianice;434,74
Walbrzych Glowny;Zarow;103,73
Walbrzych Glowny;Leba;450,79
Walbrzych Glowny;Pobiedziska Letnisko;495,59
Walbrzych Glowny;Biadoliny;98,67
Walbrzych Glowny;Andrychow;158,68
Walbrzych Glowny;Rosochatka;281,34
Walbrzych Glowny;Rumia;160,0
Walbrzych Glowny;Rawicz;14,54
Walbrzych Glowny;Zielona Gora Glowna;42,4
Walbrzych Glowny;Czerwonka;270,26
Walbrzych Glowny;Chorzow Batory;454,71
Walbrzych Glowny;Puszczykowko;373,7
Walbrzych Glowny;Strzebielino Morskie;475,95
Walbrzych Glowny;Warka;116,98
Walbrzych Glowny;Malowice Wolowskie;144,43
Walbrzych Glowny;Pruszcz Gdanski;193,01
Walbrzych Glowny;Chocicza;406,54
Walbrzych Glowny;Czarna Bialostocka;296,75
Walbrzych Glowny;Podlasek;156,26
Walbrzych Glowny;Baby;344,0
Walbrzych Glowny;Radziwillow Mazowiecki;349,17
Walbrzych Glowny;Krasnik;308,19
Walbrzych Glowny;Lutol Suchy;196,04
Walbrzych Glowny;Zabki;44,81
Walbrzych Glowny;Radomsko;415,74
Walbrzych Glowny;Wroclaw Zachodni;186,04
Walbrzych Glowny;Jastrzab;383,93
Walbrzych Glowny;Glogowek;272,96
Walbrzych Glowny;Miasteczko Krajenskie;132,17
Walbrzych Glowny;Scinawa;297,09
Walbrzych Glowny;Osie;71,49
Walbrzych Glowny;Dobczyn;21,08
Walbrzych Glowny;Pepowo;454,79
Walbrzych Glowny;Pomiechowek;498,27
Walbrzych Glowny;Twarda Gora;9,3
Walbrzych Glowny;Gdynia Chylonia;220,14
Walbrzych Glowny;Strzelce Opolskie;167,57
Walbrzych Glowny;Oborzyska Stare;72,74
Walbrzych Glowny;Gronowo Elblaskie;415,15
Walbrzych Glowny;Celestynow;20,96
Walbrzych Glowny;Kedzierzyn-Kozle;430,15
Walbrzych Glowny;Bierzwnik;434,4
Walbrzych Glowny;Luzino;53,6
Walbrzych Glowny;Opole Groszowice;257,02
Walbrzych Glowny;Gdynia Glowna;179,28
Walbrzych Glowny;Starczow;72,62
Walbrzych Glowny;Glowno;476,96
Walbrzych Glowny;Belchow;339,84
Walbrzych Glowny;Kostrzyn Wielkopolski;23,19
Walbrzych Glowny;Dziewule;226,04
Walbrzych Glowny;Wroclaw Osobowice;275,84
Walbrzych Glowny;Godetowo;381,07
Walbrzych Glowny;Sedziszow Malopolski;49,98
Walbrzych Glowny;Radom Glowny;109,58
Walbrzych Glowny;Ostrzeszow;42,04
Walbrzych Glowny;Swiebodzice;219,73
Walbrzych Glowny;Swinoujscie;166,31
Walbrzych Glowny;Wierzchowo Czluchowskie;349,51
Walbrzych Glowny;Deblin;208,45
Walbrzych Glowny;Nowa Wies Wielka;316,31
Walbrzych Glowny;Ruda Slaska;24,14
Walbrzych Glowny;Skorzewo;424,72
Walbrzych Glowny;Gorzanow;129,18
Walbrzych Glowny;Stara Lubianka;334,43
Walbrzych Glowny;Grabow Pilica;482,32
Walbrzych Glowny;Lezajsk;127,72
Walbrzych Glowny;Lodz Widzew;278,52
Walbrzych Glowny;Swieta Katarzyna;392,02
Walbrzych Glowny;Cekcyn;160,68
Walbrzych Glowny;Zyrardow;437,69
Walbrzych Glowny;Smetowo Smetowo;78,21
Walbrzych Glowny;Okonek;112,13
Walbrzych Glowny;Olesnica;230,34
Walbrzych Glowny;Domaszkow;91,92
Walbrzych Glowny;Morzeszczyn;93,26
Walbrzych Glowny;Dziembowko;43,25
Walbrzych Glowny;Czestochowa Stradom;96,64
Walbrzych Glowny;Chojnow;36,12
Walbrzych Glowny;Sulkowice;97,48
Walbrzych Glowny;Wroclaw Psie;39,25
Walbrzych Glowny;Rogow;332,69
Walbrzych Glowny;Boleszkowice;324,69
Walbrzych Glowny;Paslek;108,54
Walbrzych Glowny;Runowo Pomorskie;431,52
Walbrzych Glowny;Ruda Wielka;18,39
Walbrzych Glowny;Pulawy Miasto;232,21
Walbrzych Glowny;Plociczno Suwalk;62,43
Walbrzych Glowny;Sedzislaw;406,67
Walbrzych Glowny;Prabuty;324,22
Walbrzych Glowny;Czaplinek;328,48
Walbrzych Glowny;Kundzin;309,36
Walbrzych Glowny;Tarnow;195,92
Walbrzych Glowny;Zielonczyn;423,25
Walbrzych Glowny;Stronie;367,31
Walbrzych Glowny;Bincze;158,15
Walbrzych Glowny;Kluczbork;178,61
Walbrzych Glowny;Kolumna;368,05
Walbrzych Glowny;Czempin;22,75
Walbrzych Glowny;Strzelce Krajenskie Wschod;262,36
Walbrzych Glowny;Katowice;107,14
Walbrzych Glowny;Nowe Drezdenko;118,03
Walbrzych Glowny;Rokietnica;114,61
Walbrzych Glowny;Terespol;442,35
Walbrzych Glowny;Gniewkowo;139,85
Walbrzych Glowny;Olawa;15,75
Walbrzych Glowny;Zgierz;151,27
Walbrzych Glowny;Bukowo;214,46
Walbrzych Glowny;Ozarow Mazowiecki Ozarow;231,71
Walbrzych Glowny;Suwalki;316,62
Walbrzych Glowny;Zagan;211,41
Walbrzych Glowny;Zywiec;84,26
Walbrzych Glowny;Slonice;31,13
Walbrzych Glowny;Rytel;307,98
Walbrzych Glowny;Gizycko;331,96
Walbrzych Glowny;Stalowa Wola Rozwadow;204,93
Walbrzych Glowny;Warszawa WKD;54,88
Walbrzych Glowny;Bialystok Bacieczki;331,49
Walbrzych Glowny;Chodziez;408,43
Walbrzych Glowny;Wloszczowa;301,42
Walbrzych Glowny;Torun Miasto;401,75
Walbrzych Glowny;Otwock;271,31
Walbrzych Glowny;Greboszow;322,23
Walbrzych Glowny;Gdansk Oliwa;200,37
Walbrzych Glowny;Luban Slaski;209,31
Walbrzych Glowny;Rybnik Niedobczyce;414,82
Walbrzych Glowny;Smardzow Wroclawski;439,29
Walbrzych Glowny;Swidnik Miasto;455,3
Walbrzych Glowny;Tarnowskie Gory;13,84
Walbrzych Glowny;Elk;404,21
Walbrzych Glowny;Koszalin;22,73
Walbrzych Glowny;Warszawa Ursus;99,93
Walbrzych Glowny;Sopot;91,95
Walbrzych Glowny;Nieszawa Waganiec;370,76
Walbrzych Glowny;Kanie;171,6
Walbrzych Glowny;Kalisz Kaszubski;187,71
Walbrzych Glowny;Garwolin;402,32
Walbrzych Glowny;Paledzie;238,85
Walbrzych Glowny;Zubrzyk;316,33
Walbrzych Glowny;Szczytna;275,8
Walbrzych Glowny;Slawiecice;370,3
Walbrzych Glowny;Poraj;9,81
Jasienica Mazowiecka;Osielec;218,49
Jasienica Mazowiecka;Krzyz Krzyz;427,17
Jasienica Mazowiecka;Katy Wroclawskie;308,37
Jasienica Mazowiecka;Ksieginice;191,4
Jasienica Mazowiecka;Skokowa;276,9
Jasienica Mazowiecka;Szepietowo;279,59
Jasienica Mazowiecka;Zukowo Wschodnie;494,6
Jasienica Mazowiecka;Stargard;41,63
Jasienica Mazowiecka;Olsztyn Glowny;298,86
Jasienica Mazowiecka;Slupca;194,72
Jasienica Mazowiecka;Stare Kurowo;251,02
Jasienica Mazowiecka;Glucholazy;485,62
Jasienica Mazowiecka;Trakiszki;493,05
Jasienica Mazowiecka;Koszecin;431,06
Jasienica Mazowiecka;Wroclaw Pracze;446,89
Jasienica Mazowiecka;Wegliniec;390,86
Jasienica Mazowiecka;Wolin;341,68
Jasienica Mazowiecka;Legnica;54,3
Jasienica Mazowiecka;Kalisz;132,81
Jasienica Mazowiecka;Machnacz;119,95
Jasienica Mazowiecka;Swidwin;305,64
Jasienica Mazowiecka;Monki;439,39
Jasienica Mazowiecka;Nowiny Wielkie;376,6
Jasienica Mazowiecka;Warszawa Ochota;130,24
Jasienica Mazowiecka;Dobroszyce;499,48
Jasienica Mazowiecka;Susz;302,65
Jasienica Mazowiecka;Jaworzyna Slaska;169,05
Jasienica Mazowiecka;Bydgoszcz Glowna;280,56
Jasienica Mazowiecka;Ilawa Glowna;384,57
Jasienica Mazowiecka;Golubie Kaszubskie;209,49
Jasienica Mazowiecka;Modlin Nowy;80,95
Jasienica Mazowiecka;Witaszyce;371,35
Jasienica Mazowiecka;Jablonowo Pomorskie;498,92
Jasienica Mazowiecka;Drawski Mlyn;62,5
Jasienica Mazowiecka;Lodz Kaliska;158,29
Jasienica Mazowiecka;Tczew;331,39
Jasienica Mazowiecka;Dziemiany Kaszubskie;141,99
Jasienica Mazowiecka;Duszniki-Zdroj;136,33
Jasienica Mazowiecka;Ziebice;255,29
Jasienica Mazowiecka;Nidzica;342,81
Jasienica Mazowiecka;Lowicz Glowny;234,1
Jasienica Mazowiecka;Scinawka Srednia;173,27
Jasienica Mazowiecka;NowaWies Mochy;413,56
Jasienica Mazowiecka;Rogozno Wielkopolskie;169,89
Jasienica Mazowiecka;Gorzkowice;397,71
Jasienica Mazowiecka;Stary Sacz;487,43
Jasienica Mazowiecka;Klodawa;153,08
Jasienica Mazowiecka;Poznan Glowny;310,49
Jasienica Mazowiecka;Lebork;473,45
Jasienica Mazowiecka;Borowa Olesnicka;372,82
Jasienica Mazowiecka;Wroclaw Kuzniki;361,29
Jasienica Mazowiecka;Turzno;30,14
Jasienica Mazowiecka;Serock;73,63
Jasienica Mazowiecka;Bochnia;185,09
Jasienica Mazowiecka;Wolczyn;233,75
Jasienica Mazowiecka;Koluszki;378,67
Jasienica Mazowiecka;Osowiec;272,85
Jasienica Mazowiecka;Kaliska;139,12
Jasienica Mazowiecka;Swiekatowo;115,48
Jasienica Mazowiecka;Damnica;19,65
Jasienica Mazowiecka;Pierzchno;245,86
Jasienica Mazowiecka;Warszawa Srodmiescie;417,13
Jasienica Mazowiecka;Walbrzych Miasto;499,41
Jasienica Mazowiecka;Rabka-Zdroj;284,59
Jasienica Mazowiecka;Bladzim;292,14
Jasienica Mazowiecka;Wronki;91,74
Jasienica Mazowiecka;Lancut;433,66
Jasienica Mazowiecka;Wloszakowice;144,9
Jasienica Mazowiecka;Opalenica;232,22
Jasienica Mazowiecka;Imbramowice;475,44
Jasienica Mazowiecka;Lubon Poznania;237,94
Jasienica Mazowiecka;Ciechanow;265,51
Jasienica Mazowiecka;Czeremcha;204,92
Jasienica Mazowiecka;Brusy;346,85
Jasienica Mazowiecka;Roztoki Bystrzyckie;307,31
Jasienica Mazowiecka;Szymiszow;377,88
Jasienica Mazowiecka;Sulejowek Milosna;380,65
Jasienica Mazowiecka;Krakow Glowny;353,46
Jasienica Mazowiecka;Kamieniec Zabkowicki;287,47
Jasienica Mazowiecka;Warszawa Wschodnia;431,18
Jasienica Mazowiecka;Bierutow;220,89
Jasienica Mazowiecka;Kaliska Kujawskie;186,58
Jasienica Mazowiecka;Parlin;465,94
Jasienica Mazowiecka;Szamotuly;492,23
Jasienica Mazowiecka;Grodzisk Mazowiecki;78,88
Jasienica Mazowiecka;Janikowo;92,99
Jasienica Mazowiecka;Plochocin;182,88
Jasienica Mazowiecka;Konopki;152,97
Jasienica Mazowiecka;Szczecinek;231,51
Jasienica Mazowiecka;Zary;405,13
Jasienica Mazowiecka;Raba Wyzna;94,61
Jasienica Mazowiecka;Barlogi;395,68
Jasienica Mazowiecka;Tomaszow Mazowiecki;211,29
Jasienica Mazowiecka;Zawiercie;415,9
Jasienica Mazowiecka;Pszczyna;223,31
Jasienica Mazowiecka;Szczepki;71,02
